wvln_2,T0_A_ag,T0_B_ag,T0_C_ag,Light_T1_A_ag,Light_T1_B_ag,Light_T1_C_ag,Dark_T1_A_ag,Dark_T1_B_ag
346,0.270783406048916,0.259982467607689,0.267766727313657,0.132187593455213,0.131504039985679,0.138842464900087,0.278617027902168,0.27062606558482
347,0.267117194780818,0.256443618777775,0.264203694344469,0.13033953620712,0.129643990054823,0.136760119661662,0.275135418549531,0.267065270660789
348,0.263614099605719,0.25306253387366,0.260899917704133,0.12858870523574,0.127819936724474,0.134770730745374,0.271704448796796,0.263690708480387
349,0.260189435839692,0.249756434966994,0.257695789729911,0.126780808235584,0.125942144985119,0.132784099336302,0.268183357677281,0.260353070805791
350,0.25663923599812,0.246334355848643,0.254274329018774,0.124716405346282,0.123956250364072,0.130684697543467,0.264558242218891,0.256805219439236
351,0.252990564231019,0.242825385216049,0.25062414804359,0.122471385439817,0.121895802925105,0.128491675376938,0.260900139741771,0.253086513055114
352,0.249565577126362,0.239541159372553,0.247121204819978,0.120467984005013,0.119904305829175,0.126397279737743,0.257382722844548,0.249598323260758
353,0.2465275866061,0.236624280960415,0.243999655705878,0.118910055446307,0.118103777592696,0.12454261142205,0.254117806324599,0.246563608826333
354,0.243750802458771,0.233913276199512,0.241225065431762,0.117601524627537,0.116599248496946,0.122993461300991,0.251132810357806,0.243875094946855
355,0.24103471085681,0.23120866194097,0.238617268712211,0.116282495904585,0.115336907101971,0.121657426379646,0.248340603134552,0.241306154813936
356,0.23808194391819,0.228326422872743,0.235699728898834,0.114669405127884,0.113851237659379,0.120058904982434,0.245397767521314,0.238421913284253
357,0.234699552702455,0.225160032462575,0.232146370174316,0.112595188116091,0.111789153208172,0.117845892360984,0.242043580091745,0.234940444398398
358,0.231187662893329,0.22190632030343,0.228470653987335,0.110389153483855,0.109548531943879,0.115446907315894,0.238543572535523,0.231351960438587
359,0.227935782397458,0.21882207969657,0.225306498972007,0.108462696336011,0.107654254057151,0.113424965149366,0.235265667402717,0.22825592592271
360,0.225009528048513,0.215984552058896,0.222580557026561,0.106849902100293,0.106108343506456,0.111813017542572,0.232290816553514,0.225576887219674
361,0.222358713450737,0.213407909516883,0.219975305788897,0.1054533940209,0.10472911401911,0.110449712040994,0.229593488898834,0.223006229976057
362,0.219926365925395,0.211037962224261,0.217458302733111,0.104237961463447,0.103457214993399,0.109211089213005,0.227110792719461,0.220483580273445
363,0.217650517241379,0.208783772516727,0.215163121461657,0.103203557900154,0.10230646989192,0.108002589294905,0.224756951106536,0.21809465877509
364,0.215337416590212,0.206481096444315,0.212941648146076,0.102172503748126,0.10114614654613,0.106703175859831,0.222341908970888,0.215728404551456
365,0.212677018741972,0.203901084171944,0.210399182026002,0.100812373325874,0.0997160404027837,0.105167366254783,0.219583500941171,0.213096733190718
366,0.20969534362192,0.201066464815055,0.207497082662848,0.0991257312564612,0.0980443799843361,0.103442449195999,0.216531445190539,0.210214334514534
367,0.206852276528005,0.198322629993063,0.204664528491575,0.0975467915764506,0.0965319926997695,0.101824409983665,0.213663030762828,0.207489353750587
368,0.204361645300633,0.195852560805567,0.202133575641433,0.0963026557953858,0.0953561688299133,0.100466634514981,0.211183582399248,0.20508235473696
369,0.201928912301461,0.193504019531428,0.199713785021817,0.0951810565203964,0.0942303732202555,0.0992309832808968,0.208739762242162,0.202644365276466
370,0.199307978256842,0.191111947690036,0.197213955723332,0.0939650405988051,0.0929240403974132,0.0979658996916467,0.206049956775045,0.199923440674886
371,0.196552175488375,0.188585706513907,0.194575068728323,0.0925603029917878,0.0915062205330172,0.0965690320526305,0.203215954941932,0.197104420492739
372,0.193778492505986,0.185910136780863,0.191805427478798,0.090967247725391,0.0900993279240976,0.0950084652509566,0.200398931920607,0.194408443321623
373,0.191114227256819,0.183314404302625,0.18908079390633,0.0894762555635614,0.088798105795162,0.0935002828409675,0.197691348718477,0.191849778466289
374,0.188662548321958,0.181035629080087,0.186587505000336,0.0883878111606883,0.0876707385477411,0.0922789618689163,0.19514838846159,0.189383397636107
375,0.186331286817785,0.178910230920361,0.18426362021079,0.0875296398129294,0.0866545494327463,0.0912459726912663,0.192703928989237,0.186955797122334
376,0.183953786417239,0.176628311244378,0.181946392427667,0.0865489372597283,0.0856299031573765,0.0901734882006757,0.190238776728054,0.184507062100293
377,0.181483150945423,0.174159118722728,0.179539938790306,0.0853424586497796,0.0844878566895657,0.0889895372821052,0.187660560486921,0.182013177462015
378,0.178951212471973,0.171646851488286,0.177000947529817,0.0839699968931952,0.0831391299908254,0.0877253335979771,0.184909381932019,0.179479302785025
379,0.176428765076865,0.169209678030835,0.17442909381548,0.0826008495047998,0.0817413002868715,0.08644647366287,0.182130280818993,0.176969127828325
380,0.174012323868514,0.166930110952583,0.172041386456622,0.081488930953031,0.0806570407339614,0.0852391731602855,0.179637885953143,0.174586065885565
381,0.171683498888764,0.164739912256707,0.169832849042046,0.0806008033708518,0.0798770607943789,0.0840695230557854,0.17743450929401,0.172284885180693
382,0.169250220218846,0.162357379788315,0.167482267613059,0.0795027321345297,0.0788724058573698,0.0827226091736221,0.17507740514131,0.169799159689409
383,0.166700799078968,0.159760790374365,0.164918431695495,0.0780800931110563,0.0774605079782496,0.0812237514609858,0.172430798362908,0.167105288931057
384,0.164386023427689,0.157456704333505,0.162583889099331,0.0768809976942871,0.0761942123108594,0.0800741433453421,0.169999850499228,0.164664564343798
385,0.162485697518405,0.155722575363065,0.16073233637808,0.0762360237060575,0.0754409581642016,0.0795226445523508,0.168089644798496,0.162741497245407
386,0.160575786886258,0.154014920699948,0.158906403973237,0.075630967020072,0.0748019479773546,0.0789446726299536,0.166227542933608,0.160879895995883
387,0.158280838548189,0.151835158067533,0.156679443618788,0.0745747914001208,0.0738721335648593,0.0777737824717491,0.16395847199266,0.158650874284052
388,0.155965550207881,0.149583801254,0.154359605568261,0.0733894950041397,0.0728698047224149,0.0764437346156772,0.161573244741211,0.156358967626038
389,0.154107589609971,0.147805850770436,0.152389050685404,0.072543226522858,0.0721255587075119,0.0755637776651973,0.159500858803732,0.154431701248182
390,0.152501807523104,0.146270751155765,0.150665903743651,0.071902181776276,0.0715050760008055,0.0749748631743829,0.157643465962541,0.152698402121327
391,0.150687459357784,0.144463949030858,0.148878500464096,0.071106747840408,0.070703134065206,0.0742263545668955,0.155702454748148,0.150769096472062
392,0.148606119767281,0.142396376362863,0.146949149170489,0.0701169779650473,0.0697188341488957,0.0732409209040256,0.153630280836,0.148661128561391
393,0.146462457392199,0.140408905981338,0.144957011286894,0.0691011136610798,0.0687455442368367,0.0721840576741479,0.151542841983486,0.146647324339323
394,0.144406198042471,0.138613908955671,0.142986077408758,0.0681526424918883,0.0678610708523349,0.0711778316883349,0.149513115248048,0.144798253492358
395,0.142537941553402,0.136913873952874,0.141124755914878,0.067297152970082,0.0670408820756785,0.0703033703166326,0.147576002060462,0.14299913345745
396,0.140803333464611,0.13518891007183,0.13935237345208,0.0664698513325427,0.0662279657678623,0.0695104270894403,0.145690981140773,0.141145592409765
397,0.138945048350153,0.133304585596455,0.137505506785115,0.065491427168207,0.0653308547902168,0.0685754239459375,0.143720521374835,0.139155564472689
398,0.136882694155609,0.131261873192956,0.135529170089284,0.0643334419906465,0.0643323745020027,0.0674360646047126,0.141625656629596,0.137045121755242
399,0.134906042661057,0.12933266236613,0.133596094217369,0.0632768405531561,0.063360973382264,0.066369701167625,0.139571152083958,0.135018445534248
400,0.13322073458435,0.127706942241715,0.131848783455436,0.0625212488272281,0.0625176561757927,0.0655705632670232,0.137692032241491,0.133224805765177
401,0.131637086175121,0.126224167828325,0.130243034350288,0.0619015868352391,0.0617506365790239,0.0648539585822014,0.135948569739309,0.131570320281949
402,0.129957793139251,0.124701773537112,0.128703133245318,0.0612252325091186,0.0609980193917966,0.0640257558370069,0.13427406199736,0.129934963606257
403,0.128298355392155,0.123170647924993,0.127189580704871,0.0604934865653741,0.0602972232567299,0.0631765935044419,0.132642813312448,0.128296868270044
404,0.126823067239813,0.121705349993958,0.125675855599365,0.0597573054639844,0.0596959948058806,0.0624507412759292,0.131037821608897,0.126666985676117
405,0.125358832380228,0.12021294815816,0.124096361414218,0.0589698289565664,0.0590552648580187,0.061737819647788,0.1293743860064,0.125025613959587
406,0.123630235504039,0.118553966265524,0.122389990387791,0.0580617774718611,0.0581883816250084,0.0608469142392983,0.127562635445859,0.123351569434089
407,0.121791743837633,0.116850655471369,0.120676917594039,0.0571358192700665,0.057209483348475,0.0598773877768579,0.125739795371568,0.121690045298843
408,0.120251580645797,0.115379157566291,0.119183495680816,0.0563963682669114,0.0564164444154043,0.0590993378567433,0.124175529022355,0.120130019456242
409,0.119075289436774,0.114185381629484,0.117939724465528,0.0558880820031775,0.0558905040981002,0.0585648870782519,0.122879553931392,0.118715935949339
410,0.118009412774508,0.113103153985992,0.116793395969478,0.0555107723260757,0.0555132680409049,0.0581216875848642,0.121625563684128,0.117453795978429
411,0.116893051114144,0.112009113881268,0.115654793735371,0.0551483153178633,0.0551738098914721,0.0576738314851528,0.120324261456734,0.116303304129428
412,0.115700321757927,0.11084461775918,0.11452124005997,0.0546637211179485,0.0547741730636174,0.0572033723072792,0.119076869319967,0.115156403164985
413,0.114393627019624,0.109561621268768,0.113336783814361,0.0539832520280157,0.0542264480270311,0.0566558092344871,0.117876290314842,0.113915679224865
414,0.112887069548211,0.108116205129674,0.111920845085815,0.0531521866463783,0.053445687127481,0.0558855612575801,0.116460763857773,0.112504246034595
415,0.111191849287297,0.106540204945289,0.110223114386091,0.0522574209044732,0.0524469700776478,0.0548563802904518,0.114709261178366,0.110920405330171
416,0.109656826826288,0.105109575511647,0.108648307727629,0.0515016062574683,0.0515650960648034,0.0539132986873727,0.113030760881649,0.109406835709906
417,0.108570518578621,0.10404740723131,0.107546443593725,0.0510308782196961,0.0510775311544227,0.053359284449417,0.111793068020318,0.108172551450245
418,0.107705925808141,0.103173317492895,0.10667792688223,0.0506887732873861,0.0507843466499585,0.0530278175935912,0.110796298069771,0.107117165330171
419,0.106735126604757,0.102224641071404,0.105685336186533,0.0502591024824899,0.0503891594092504,0.0526473028002415,0.109718072698874,0.106067099573497
420,0.105623413305288,0.101163939005124,0.104544756521739,0.0497208808923897,0.0498621574928954,0.052136261679608,0.108519804475374,0.104955953147307
421,0.104456412928461,0.100044121626351,0.103367309480185,0.0491298900257334,0.0492827912094699,0.0514974031497684,0.10727653387545,0.103765394400412
422,0.103308607322607,0.0989360486840161,0.102248679443263,0.0485584325816196,0.0487329485698941,0.0508426889534337,0.106077687588445,0.102571171443532
423,0.102239734330148,0.0979105746264181,0.10126152454698,0.0480745065559757,0.0482842938414375,0.0503371922951957,0.105007312749894,0.101494126641455
424,0.101227424100785,0.0969473173407325,0.100338176612589,0.0476442426691131,0.0478893675096779,0.0499439076873502,0.104013944922464,0.100501333049296
425,0.100186658010696,0.0959575035879075,0.0992989050066011,0.0471501780044306,0.0474101887900825,0.0494574332350242,0.102937009372329,0.0994363901819239
426,0.0991023230710018,0.0949148816872161,0.0981127537362662,0.0465628510532793,0.046814454445613,0.0488251834169482,0.101735235957842,0.0982518364635593
427,0.0980430489364273,0.0938744100767526,0.0969422472850142,0.0459628988771286,0.0462094298579068,0.0482006937259728,0.100524128128175,0.097047516389268
428,0.0970297206909977,0.092859771396988,0.0958814268379243,0.0454057195721542,0.045657882475777,0.0476603660175882,0.0993781883452303,0.0958965851766653
429,0.09595406200452,0.0918022894654164,0.0948424603128286,0.0448636432437512,0.0450987631390274,0.0470808171567946,0.0982436779055247,0.0947858981386917
430,0.0947597115379623,0.0906658410552932,0.0937505372221352,0.044311435049341,0.0444891461415561,0.0463887311401016,0.0970748440985477,0.0936915529530757
431,0.0935979520150372,0.089550292747656,0.0926458110407482,0.0437762987222806,0.0438945617400255,0.0457348679898856,0.0958950329745574,0.0926033176307368
432,0.0926068543310434,0.0885558085479648,0.0915832578755398,0.0432887759224865,0.0433835026561346,0.0452581820403231,0.0947429064691535,0.091521969303408
433,0.0917226536346752,0.0876863244708988,0.090615211467699,0.0428683070169393,0.0429691147548613,0.0448817083908791,0.0936850437754257,0.0905043766985164
434,0.0908389458972007,0.0869130465931214,0.089778804520128,0.042521126433798,0.0426421133880821,0.0444864981807604,0.0927764819575287,0.0896078959072703
435,0.0899490387746426,0.0861609264875025,0.0890027653068988,0.04217476980465,0.0423556539148337,0.0440689363780797,0.0919335075253418,0.0887844749222404
436,0.0890801351169191,0.0853391101219539,0.0881762225433551,0.0417351585455033,0.0420449143019534,0.0436647436559332,0.0910230527924097,0.0879460130958401
437,0.0882234323390543,0.0844589078699456,0.0873004595717066,0.0412533872272818,0.0416983017700105,0.0432829481706907,0.0900668747969298,0.0870749102642708
438,0.087343000981897,0.0835840789876702,0.086436651589429,0.040859480383987,0.0413291312152878,0.0429054953764907,0.0891684286486606,0.0861913942330326
439,0.0864207797265546,0.0827193843272393,0.0855720820828392,0.0405282208418179,0.0409114713508917,0.0424871140370113,0.0882887376132829,0.08526928340755
440,0.0854511322329879,0.0818132340029984,0.0846252935702297,0.0400958440636398,0.0403861347168206,0.0419583908872429,0.0872623659817852,0.0842390172830003
441,0.0844572458269373,0.0808632176992101,0.0835977407809528,0.039538869716485,0.0397836264575175,0.0413476003884625,0.0860992568587348,0.0831396041030231
442,0.0834976392051735,0.079932874990266,0.0825982837038197,0.0390224549316386,0.0392541441392736,0.0408094530072277,0.0850395418881604,0.0821499311114592
443,0.0826180026485264,0.0790781072380227,0.0817052262382241,0.0386386116350779,0.0388821315616818,0.0404270894707869,0.0842025901532815,0.0813481549678891
444,0.0818216955805678,0.0783237782407303,0.0809202345498891,0.0383102695025621,0.0386079589563426,0.0401217461970506,0.0834437703416947,0.0805987879522924
445,0.0811025418801047,0.0776713388995054,0.0802251251108773,0.0379776865689543,0.0383659653176396,0.0398213351625679,0.0826452028481281,0.0798027603454988
446,0.0803963111235426,0.077023694864508,0.0795414146837028,0.0376461737743068,0.0380767839692094,0.0394784775403342,0.0818131630334086,0.0789927328828123
447,0.0796427209756315,0.0762928311817225,0.0787983963543601,0.0373240698981852,0.0376834307476112,0.0390682285502024,0.0809707651923291,0.0782084874058493
448,0.0787939717979816,0.0754555372615184,0.0779625674702947,0.0369366966743494,0.0371844129356217,0.038597259922576,0.0800826588126832,0.0773774953496386
449,0.0778404688554231,0.0745355976343172,0.0770404634178433,0.0364272101116606,0.0366185776965249,0.038097837201101,0.0791278896077335,0.0764390550399427
450,0.0769179177828997,0.0736572700396072,0.0761454020183939,0.0359145305063887,0.0361089754033432,0.0376267013090471,0.0781897973729554,0.0755155837185886
451,0.0762119523524805,0.0729830347888742,0.0754316107919174,0.0355822449972029,0.0358075734449193,0.037260852484504,0.0773991248781579,0.0747966685466222
452,0.0756174433377341,0.0724187835556848,0.0748275164653494,0.0353615116095683,0.0356130340200049,0.0369555224623509,0.0767094326863434,0.0742011877491105
453,0.0748787603374432,0.0717378185620622,0.074143820173197,0.0350491982975676,0.0352942642422072,0.0366082838667233,0.075984649124393,0.0735056533759985
454,0.0740115626001924,0.0709495340025509,0.0733748461151513,0.0346372586999037,0.0348518533652576,0.0362165087614401,0.0752072455870572,0.0727084534458143
455,0.0732742130036474,0.0702736202179507,0.0726823089556713,0.0342955203947279,0.0344958622461903,0.035874880886124,0.0744762935603839,0.0720107997028351
456,0.0727415697410995,0.0697648077191254,0.0721089391608673,0.0340661543368614,0.0342844005495759,0.0356015711060887,0.0738199025970596,0.0714515133961377
457,0.0722660561149275,0.0692768817767235,0.0715601737277629,0.0338428404242654,0.0340954082373738,0.0353334521184183,0.0731926509816733,0.0708817294797377
458,0.0717235171590324,0.068699866618631,0.0709518995573855,0.033548510983016,0.0338306077406073,0.0350194440761709,0.0725464404734946,0.0702034795882655
459,0.0710406200845846,0.0679918577940881,0.0702172550506837,0.0331562505753094,0.0334382957989662,0.0346225088044038,0.0718167873964511,0.0694227563821075
460,0.0702240716650629,0.0671816995824475,0.0693721715554162,0.032693269118575,0.032939034452326,0.0341597776553514,0.0710021310085255,0.0686002226641902
461,0.0694678948081183,0.0664578492264315,0.0686362843446933,0.032301937794088,0.0325182257172905,0.033778407104209,0.0702592278207164,0.0679011454066996
462,0.0689156757179619,0.0659511198764796,0.0681650545136387,0.0320751260524961,0.0323037158620689,0.0335733205970149,0.0696967755635615,0.0674228995985589
463,0.0684244934198572,0.0654937291154423,0.0677483976468482,0.0318718785705654,0.0321190205965674,0.0333760216035266,0.0691598679415516,0.0669561149374566
464,0.0678026031005392,0.0648764326782877,0.0671295993636017,0.0315209021450468,0.031750964352749,0.0329890229577748,0.0684614276434916,0.0662619519559623
465,0.0670710076358835,0.064145065435342,0.0663756013614088,0.0310748267636331,0.0312742999001991,0.0324810921309494,0.0676532012181969,0.0654352174861823
466,0.0663293877902839,0.0634395119819195,0.0656658147633645,0.0306657627595157,0.0308626960093087,0.032015303988901,0.0668739910483564,0.0646861473060484
467,0.0656458861491642,0.0628145308044485,0.0650450004725994,0.0303354967916041,0.0305435392852827,0.0316554428185906,0.066196290655866,0.0640779072953075
468,0.0650547948649556,0.0622638347629171,0.0644669693597978,0.0300579085170848,0.0302502994186489,0.0313897294349841,0.0656371945830071,0.0635745414916423
