wvln_2,SPA_ag,SPB_ag,SPC_ag,SPD_ag,SPE_ag,SPF_ag,SPH_ag,SPI_ag,SPJ_ag,srfa_ag,,out,in
286,0.290461189,0.291047098,0.288350204,0.345149565,0.359612337,0.312823262,0.931435841,0.875323795,0.77482983,0.800598613,,0.289952831,0.860529822
287,0.274644175,0.275006723,0.27210522,0.326974584,0.341134569,0.297239082,0.908776828,0.854407112,0.75413071,0.789468111,,0.273918706,0.839104883
288,0.2597618,0.2600169,0.256778322,0.309846981,0.323882284,0.282451407,0.88761409,0.834612468,0.734239117,0.779382439,,0.25885234,0.818821892
289,0.245749524,0.245994168,0.2423683,0.293777777,0.307763616,0.268482712,0.867900128,0.815804378,0.715128484,0.770240781,,0.244703997,0.799610997
290,0.232533341,0.232750555,0.228866634,0.278677676,0.292449064,0.255308776,0.848850926,0.797504358,0.696724498,0.761459135,,0.23138351,0.781026594
291,0.220089261,0.220258397,0.216230412,0.26448045,0.277881623,0.242869771,0.830115065,0.779598294,0.679016894,0.752667869,,0.218859357,0.762910085
292,0.208442249,0.208643313,0.204384822,0.25114455,0.26426614,0.231072434,0.811766461,0.762325221,0.662057169,0.743718985,,0.207156794,0.74538295
293,0.197562182,0.197885394,0.193271509,0.238608456,0.251587654,0.219844117,0.793949022,0.745833613,0.645858897,0.734545301,,0.196239695,0.728547177
294,0.187340571,0.187752181,0.182855216,0.226782367,0.239512417,0.209146018,0.776878039,0.730133424,0.630383413,0.725190261,,0.185982656,0.712464959
295,0.17776077,0.178156675,0.173139785,0.215648536,0.227907501,0.199002764,0.760739425,0.715212071,0.615659368,0.715789762,,0.17635241,0.697203622
296,0.169010492,0.169349948,0.164206889,0.205348779,0.217112455,0.189570727,0.745643251,0.701043114,0.601869975,0.706676632,,0.167522443,0.682852113
297,0.161194397,0.161505321,0.156101246,0.195964812,0.207371083,0.180921761,0.731582886,0.687595413,0.589134712,0.698100168,,0.159600321,0.66943767
298,0.154082417,0.154414719,0.148725457,0.187330805,0.198442429,0.172816241,0.718206721,0.674842514,0.577316365,0.689995212,,0.152407531,0.656788533
299,0.147409208,0.147817727,0.141948028,0.179250265,0.190025471,0.165003797,0.705153707,0.662740297,0.566222334,0.682152533,,0.145724988,0.644705446
300,0.141060528,0.141540524,0.135604005,0.171609736,0.181973426,0.157470927,0.692335057,0.651133458,0.55561691,0.673911883,,0.139401686,0.633028475
301,0.134993066,0.135476608,0.129551401,0.164346273,0.174217887,0.150281095,0.679776889,0.639861303,0.545301266,0.664647682,,0.133340359,0.621646486
302,0.129342807,0.129821681,0.123902115,0.157577649,0.166911087,0.143524847,0.667748735,0.6289713,0.535452521,0.655010545,,0.127688868,0.610724185
303,0.124311082,0.12488081,0.118866877,0.151487267,0.160283069,0.137292131,0.656595528,0.618599674,0.526393942,0.646163926,,0.122686256,0.600529715
304,0.11985906,0.120578229,0.11440169,0.146003004,0.154280558,0.131553863,0.646207691,0.608765421,0.518075927,0.638083675,,0.11827966,0.591016346
305,0.115777464,0.116571782,0.110286271,0.140875154,0.14865188,0.126195228,0.636161854,0.599398278,0.51018866,0.629925575,,0.114211839,0.581916264
306,0.11188383,0.112696414,0.106371218,0.135952591,0.14323968,0.121112853,0.626243301,0.59036112,0.502534873,0.621417067,,0.110317154,0.573046431
307,0.108034008,0.108974401,0.102591369,0.131189774,0.137995507,0.116222201,0.616461917,0.58145197,0.495044133,0.612892683,,0.106533259,0.56431934
308,0.104246143,0.105435128,0.098957676,0.126616514,0.132949435,0.111528687,0.60691305,0.572621837,0.487721698,0.604560992,,0.102879649,0.555752195
309,0.100789861,0.102109121,0.095598163,0.122371152,0.128250291,0.107182481,0.597804578,0.564063177,0.480679752,0.596389829,,0.099499048,0.547515835
310,0.09780299,0.099012156,0.092568834,0.118514635,0.123971343,0.103264334,0.5892165,0.555889984,0.473977292,0.588337921,,0.096461327,0.539694592
311,0.095077057,0.096133533,0.089746046,0.11491824,0.119995637,0.099673887,0.580915705,0.547991825,0.467535207,0.580386817,,0.093652212,0.532147579
312,0.092398135,0.09343407,0.087009511,0.111444576,0.116188831,0.096284415,0.572649662,0.540222504,0.461236089,0.572486181,,0.090947238,0.524702752
313,0.089705201,0.090795479,0.084342949,0.108026875,0.11245422,0.092969553,0.564255672,0.532423424,0.454904376,0.564486618,,0.088281209,0.51719449
314,0.087006719,0.088129741,0.081769007,0.104649714,0.108748155,0.089655371,0.555668875,0.524494215,0.448416362,0.556288493,,0.085635155,0.509526484
315,0.084510148,0.085608585,0.079408785,0.101517505,0.105284189,0.086567615,0.547273168,0.51668619,0.442017943,0.548153429,,0.08317584,0.501992434
316,0.082440017,0.083446659,0.077375822,0.098852258,0.102305996,0.08397394,0.539514655,0.509306427,0.4360163,0.540413402,,0.081087499,0.494945794
317,0.080570908,0.081471224,0.075446644,0.096413082,0.09956061,0.081637656,0.532092533,0.502134838,0.430187138,0.532892531,,0.079162926,0.48813817
318,0.078479566,0.079338227,0.073255907,0.093758561,0.096584201,0.079100478,0.524367891,0.494716845,0.424068042,0.525176291,,0.077024567,0.481050926
319,0.07621042,0.077082956,0.070917127,0.090948367,0.093468527,0.076424702,0.516359845,0.487108392,0.417702938,0.517273002,,0.074736834,0.473723725
320,0.074151723,0.075021211,0.068891787,0.088414034,0.090717458,0.074056308,0.508577428,0.479737607,0.411506258,0.509497376,,0.072688241,0.466607097
