wvln_2,A8_ag,B8_ag,C8_ag,E8_ag,A9_ag,B9_ag,C9_ag,D9_ag,E9_ag,F9_ag,G9_ag,H9_ag,I9_ag,J9_ag,K9_ag,L9_ag,G10_ag,H10_ag,I10_ag,J10_ag,K10_ag,L10_ag,srfa_ag
250,0.907738915627079,0.92947187185519,1.31035988778479,1.48938574803359,0.86910990159296,0.868426667921118,1.31361471345041,1.31627574662767,1.47782913518949,1.4774255409864,0.998223393483016,0.991662262725167,1.40791455914179,1.38771613603641,1.52881877316328,1.53113979577651,0.980485983083505,0.960383059720793,1.39990630672928,1.37985228147838,1.51969432517692,1.54388236009393,1.11229131634929
251,0.887729067318579,0.910381809469892,1.30003921605764,1.48252703283582,0.849056074009264,0.848546572722594,1.30229243427689,1.30510391960885,1.47054469366958,1.47059616870818,0.976465705313948,0.970157240375708,1.39722508372362,1.37601447869918,1.5219539386194,1.52415324774189,0.959384300045034,0.938798507166752,1.38935420743695,1.36950950060473,1.51341998255919,1.53733785289501,1.10252461314119
252,0.868679073195837,0.892384224658876,1.2902766710267,1.47628531601873,0.8299564013532,0.830265784341539,1.29201808347665,1.29441001668278,1.46306038577508,1.4635858408546,0.955875126865672,0.949688555326814,1.38755225090067,1.36411294814719,1.51638076878538,1.51758509843026,0.939041815620175,0.917853529850746,1.37839909161091,1.35974336927432,1.50805188741637,1.53079661580031,1.09309589226282
253,0.850887319156949,0.874913264514266,1.28133304826582,1.47101198245108,0.812082346723071,0.813029964023449,1.28283097849692,1.28457607068526,1.45670714604019,1.45770991398767,0.936333767177046,0.929951984173958,1.37836893045548,1.35323801019686,1.51169961988549,1.51234621156073,0.919467659643592,0.897946257141019,1.36782135216161,1.34987258614256,1.50302834061374,1.52502004548379,1.08402464230571
254,0.83451277898648,0.857668175054919,1.27347313365552,1.46720692067083,0.795615358803962,0.796397776086766,1.27476515960232,1.27603360796606,1.45266373137341,1.45408304901146,0.917702169531652,0.910735090787442,1.36939664920226,1.34439290319094,1.50773200560988,1.50921123566649,0.900674514616572,0.879334470612455,1.35846175934123,1.33969656788471,1.49807958924344,1.52082622254246,1.07551705369703
255,0.819271059704003,0.841662205907385,1.26697235416944,1.46585324444472,0.780485956205516,0.780796251901134,1.26800051685475,1.2693273206658,1.45105055305725,1.45260323746532,0.899995626164436,0.892424890414308,1.36158294365028,1.33728950343219,1.50543185980764,1.50820100311052,0.882796544766469,0.861735872433093,1.35100102397066,1.33103936593541,1.49430674301016,1.51893523662506,1.06843743781095
256,0.804817736969484,0.82781098914427,1.26200259695467,1.46765430499981,0.766511395932867,0.76665472814481,1.26265680983895,1.26479755030817,1.45165794942696,1.45288483863525,0.883220859309058,0.875400198700463,1.35579454169454,1.33145047306678,1.50570549027599,1.50907997325978,0.865943210746912,0.844814808099588,1.34583574090324,1.3256165383492,1.49294959684444,1.51988481562661,1.0634708545205
257,0.791008965637749,0.814949855762399,1.25816255494521,1.47121344461795,0.753194338420597,0.753388852448439,1.25835587130286,1.26153998073886,1.45373858998029,1.45444123003904,0.867145477792074,0.859281776685538,1.35099263811117,1.32687228588523,1.50785492343026,1.51110305762995,0.849923923687597,0.828577805120947,1.34198539531652,1.32215036121976,1.49437324677046,1.52332869678332,1.05955563115457
258,0.777763798071878,0.801443976046596,1.2549292121788,1.47471236290122,0.739994484086715,0.740172936944378,1.25459819265908,1.25835110457552,1.45651203813314,1.45682425010105,0.851470532707154,0.843480091250643,1.34572631834792,1.32363444669326,1.5107874005018,1.51351070943129,0.83444577749614,0.813090303679876,1.33816401713845,1.31855901212043,1.4985589886387,1.5286269513896,1.0552163595814
259,0.764974218462774,0.787744827879944,1.25241171110051,1.47887141468938,0.726929006695705,0.727060581090343,1.25129356208528,1.25511559609103,1.460505918813,1.46022569702873,0.836015982063819,0.827814983993824,1.34059573013381,1.32111151789758,1.5147216258492,1.5169378887159,0.819199285910962,0.797913277997941,1.33447498399382,1.31460591541431,1.50472636709985,1.53517984233145,1.05060608612112
