wvln_2,T0,T0_sd,Light,Light_sd,Dark,Dark_sd
356,6.70,0.08,1.85,0.20,6.75,0.02
357,6.61,0.08,1.82,0.20,6.67,0.02
358,6.52,0.08,1.79,0.20,6.58,0.03
359,6.44,0.08,1.76,0.19,6.50,0.03
360,6.36,0.08,1.73,0.19,6.42,0.03
361,6.29,0.08,1.71,0.19,6.35,0.03
362,6.21,0.08,1.69,0.19,6.27,0.03
363,6.13,0.08,1.67,0.18,6.19,0.03
364,6.05,0.08,1.64,0.18,6.11,0.02
365,5.98,0.08,1.62,0.18,6.04,0.02
366,5.91,0.07,1.61,0.18,5.97,0.02
367,5.84,0.07,1.59,0.17,5.91,0.02
368,5.76,0.08,1.57,0.17,5.83,0.02
369,5.69,0.08,1.55,0.17,5.76,0.02
370,5.62,0.07,1.53,0.16,5.69,0.02
371,5.55,0.07,1.51,0.16,5.62,0.02
372,5.48,0.07,1.50,0.16,5.54,0.02
373,5.39,0.07,1.48,0.16,5.47,0.02
374,5.30,0.07,1.44,0.15,5.37,0.02
375,5.23,0.07,1.41,0.15,5.29,0.02
376,5.17,0.07,1.40,0.15,5.22,0.02
377,5.10,0.07,1.40,0.15,5.17,0.02
378,5.03,0.06,1.39,0.14,5.10,0.02
379,4.96,0.06,1.36,0.14,5.02,0.02
380,4.89,0.06,1.33,0.14,4.94,0.02
381,4.82,0.06,1.31,0.13,4.87,0.02
382,4.76,0.06,1.30,0.13,4.81,0.02
383,4.71,0.06,1.29,0.13,4.76,0.02
384,4.65,0.06,1.29,0.13,4.70,0.02
385,4.59,0.06,1.28,0.13,4.64,0.02
386,4.52,0.06,1.27,0.12,4.58,0.02
387,4.45,0.06,1.25,0.12,4.50,0.02
388,4.39,0.06,1.22,0.12,4.43,0.02
389,4.32,0.06,1.20,0.12,4.36,0.02
390,4.27,0.05,1.19,0.12,4.31,0.02
391,4.21,0.05,1.18,0.11,4.25,0.02
392,4.16,0.06,1.17,0.11,4.20,0.02
393,4.11,0.06,1.16,0.11,4.14,0.02
394,4.05,0.05,1.14,0.11,4.08,0.01
395,3.98,0.05,1.12,0.11,4.02,0.01
396,3.93,0.05,1.10,0.10,3.96,0.01
397,3.88,0.05,1.09,0.10,3.91,0.01
398,3.84,0.05,1.09,0.10,3.87,0.01
399,3.78,0.04,1.08,0.10,3.82,0.01
400,3.72,0.05,1.06,0.10,3.75,0.01
401,3.67,0.05,1.03,0.10,3.69,0.02
402,3.63,0.05,1.03,0.10,3.65,0.01
403,3.60,0.05,1.03,0.09,3.62,0.01
404,3.56,0.04,1.03,0.09,3.58,0.01
405,3.51,0.04,1.02,0.09,3.53,0.01
406,3.46,0.04,1.00,0.09,3.48,0.01
407,3.41,0.04,0.99,0.09,3.42,0.01
408,3.38,0.04,0.98,0.08,3.38,0.01
409,3.34,0.04,0.98,0.08,3.35,0.01
410,3.31,0.04,0.97,0.08,3.31,0.01
411,3.27,0.04,0.96,0.08,3.28,0.01
412,3.23,0.04,0.95,0.08,3.23,0.01
413,3.19,0.04,0.94,0.08,3.19,0.01
414,3.15,0.04,0.93,0.07,3.15,0.01
415,3.12,0.04,0.92,0.07,3.11,0.01
416,3.08,0.04,0.92,0.07,3.07,0.01
417,3.05,0.04,0.91,0.07,3.04,0.01
418,3.01,0.04,0.90,0.07,3.01,0.01
419,2.98,0.04,0.89,0.07,2.97,0.01
420,2.94,0.04,0.88,0.07,2.93,0.01
421,2.91,0.04,0.87,0.07,2.89,0.01
422,2.87,0.04,0.86,0.07,2.85,0.01
423,2.84,0.03,0.85,0.07,2.82,0.01
424,2.82,0.03,0.85,0.06,2.80,0.01
425,2.80,0.03,0.85,0.06,2.77,0.01
426,2.77,0.03,0.85,0.06,2.75,0.01
427,2.75,0.03,0.84,0.06,2.73,0.01
428,2.72,0.03,0.84,0.06,2.70,0.01
429,2.68,0.03,0.82,0.06,2.66,0.01
430,2.65,0.03,0.81,0.06,2.62,0.01
431,2.62,0.03,0.80,0.06,2.59,0.01
432,2.59,0.03,0.80,0.06,2.56,0.01
433,2.56,0.03,0.79,0.06,2.53,0.01
434,2.53,0.03,0.78,0.06,2.50,0.01
435,2.50,0.03,0.77,0.05,2.47,0.01
436,2.48,0.03,0.76,0.05,2.44,0.01
437,2.45,0.03,0.76,0.05,2.42,0.01
438,2.43,0.03,0.76,0.05,2.39,0.01
439,2.40,0.03,0.75,0.05,2.37,0.01
440,2.37,0.03,0.74,0.05,2.34,0.01
441,2.35,0.03,0.74,0.05,2.31,0.01
442,2.32,0.03,0.73,0.05,2.29,0.01
443,2.29,0.03,0.72,0.05,2.26,0.01
444,2.27,0.03,0.71,0.05,2.23,0.01
445,2.25,0.03,0.71,0.05,2.21,0.01
446,2.24,0.03,0.71,0.05,2.19,0.01
447,2.22,0.03,0.71,0.04,2.17,0.01
448,2.19,0.03,0.70,0.04,2.15,0.01
449,2.17,0.02,0.70,0.04,2.12,0.01
450,2.15,0.03,0.69,0.04,2.10,0.01
451,2.13,0.02,0.68,0.04,2.08,0.01
452,2.12,0.02,0.68,0.04,2.07,0.01
453,2.10,0.02,0.68,0.04,2.05,0.01
454,2.08,0.02,0.68,0.04,2.03,0.01
455,2.06,0.02,0.67,0.04,2.00,0.01
456,2.03,0.02,0.66,0.04,1.98,0.01
457,2.01,0.02,0.65,0.04,1.96,0.01
458,1.99,0.02,0.65,0.04,1.94,0.01
459,1.98,0.02,0.64,0.04,1.92,0.01
460,1.96,0.02,0.64,0.04,1.90,0.01
461,1.94,0.02,0.64,0.04,1.89,0.01
462,1.92,0.02,0.63,0.03,1.86,0.01
463,1.90,0.02,0.62,0.03,1.84,0.01
464,1.89,0.02,0.62,0.03,1.83,0.01
465,1.88,0.02,0.63,0.03,1.83,0.01
466,1.87,0.02,0.62,0.03,1.81,0.01
467,1.85,0.02,0.61,0.03,1.79,0.01
468,1.83,0.02,0.61,0.03,1.77,0.01
469,1.82,0.02,0.61,0.03,1.76,0.01
470,1.80,0.02,0.60,0.03,1.74,0.01
471,1.79,0.02,0.59,0.03,1.73,0.01
472,1.77,0.02,0.59,0.03,1.71,0.01
473,1.76,0.02,0.59,0.03,1.70,0.01
474,1.75,0.02,0.59,0.03,1.69,0.01
475,1.73,0.02,0.58,0.03,1.67,0.01
476,1.72,0.02,0.58,0.03,1.66,0.01
477,1.72,0.02,0.58,0.03,1.65,0.01
478,1.70,0.02,0.58,0.03,1.64,0.01
479,1.69,0.02,0.58,0.03,1.63,0.01
480,1.67,0.02,0.57,0.03,1.61,0.01
481,1.65,0.02,0.56,0.03,1.59,0.01
482,1.64,0.02,0.55,0.03,1.58,0.01
483,1.62,0.02,0.55,0.03,1.56,0.01
484,1.61,0.02,0.55,0.03,1.55,0.01
485,1.61,0.02,0.55,0.03,1.54,0.01
486,1.60,0.02,0.55,0.02,1.54,0.01
487,1.59,0.02,0.55,0.02,1.53,0.01
488,1.57,0.02,0.54,0.02,1.52,0.01
489,1.56,0.02,0.54,0.02,1.50,0.01
490,1.55,0.02,0.54,0.02,1.49,0.01
491,1.54,0.02,0.54,0.02,1.48,0.01
492,1.52,0.02,0.53,0.02,1.47,0.01
493,1.51,0.01,0.52,0.02,1.45,0.01
494,1.50,0.01,0.52,0.02,1.44,0.01
495,1.48,0.01,0.52,0.02,1.43,0.01
496,1.47,0.01,0.52,0.02,1.42,0.01
497,1.46,0.01,0.52,0.02,1.41,0.01
498,1.44,0.01,0.51,0.02,1.39,0.01
499,1.42,0.01,0.51,0.02,1.38,0.01
500,1.41,0.01,0.50,0.02,1.36,0.01
501,1.40,0.01,0.50,0.02,1.35,0.01
502,1.39,0.01,0.50,0.02,1.34,0.01
503,1.37,0.01,0.50,0.02,1.33,0.01
504,1.36,0.01,0.50,0.02,1.31,0.01
505,1.34,0.01,0.49,0.02,1.30,0.01
506,1.32,0.01,0.49,0.02,1.29,0.01
507,1.31,0.01,0.48,0.02,1.27,0.01
508,1.29,0.01,0.48,0.02,1.26,0.01
509,1.28,0.01,0.48,0.02,1.25,0.01
510,1.26,0.01,0.47,0.02,1.23,0.01
511,1.25,0.01,0.47,0.02,1.22,0.01
512,1.24,0.01,0.47,0.02,1.21,0.01
513,1.23,0.01,0.47,0.02,1.20,0.01
514,1.22,0.01,0.47,0.02,1.19,0.01
515,1.20,0.01,0.47,0.02,1.18,0.01
516,1.18,0.01,0.47,0.02,1.16,0.01
517,1.16,0.01,0.46,0.02,1.14,0.01
518,1.14,0.01,0.45,0.02,1.12,0.00
519,1.13,0.01,0.45,0.02,1.11,0.00
520,1.12,0.01,0.45,0.02,1.10,0.00
521,1.11,0.01,0.46,0.01,1.10,0.00
522,1.09,0.01,0.45,0.01,1.08,0.00
523,1.07,0.01,0.44,0.01,1.06,0.01
524,1.06,0.01,0.44,0.01,1.04,0.00
525,1.04,0.01,0.43,0.01,1.03,0.00
526,1.03,0.01,0.43,0.01,1.02,0.00
527,1.02,0.01,0.43,0.01,1.01,0.00
528,1.00,0.01,0.43,0.01,0.99,0.00
529,1.00,0.01,0.42,0.01,0.98,0.00
530,1.00,0.01,0.44,0.01,0.99,0.00
531,0.99,0.01,0.44,0.01,0.98,0.00
532,0.98,0.01,0.45,0.01,0.97,0.00
533,0.96,0.01,0.44,0.01,0.96,0.00
534,0.94,0.01,0.43,0.01,0.94,0.00
535,0.92,0.01,0.41,0.01,0.92,0.00
536,0.91,0.01,0.41,0.01,0.91,0.00
537,0.90,0.01,0.41,0.01,0.90,0.00
538,0.89,0.01,0.41,0.01,0.89,0.00
539,0.88,0.01,0.41,0.01,0.88,0.00
540,0.87,0.01,0.41,0.01,0.87,0.00
541,0.86,0.01,0.41,0.01,0.86,0.00
542,0.85,0.01,0.41,0.01,0.85,0.00
543,0.84,0.01,0.41,0.01,0.84,0.00
544,0.83,0.01,0.41,0.01,0.84,0.00
545,0.83,0.01,0.41,0.01,0.83,0.00
546,0.82,0.01,0.41,0.01,0.82,0.00
547,0.81,0.01,0.41,0.01,0.81,0.00
548,0.80,0.01,0.41,0.01,0.80,0.00
549,0.80,0.01,0.40,0.01,0.80,0.00
550,0.77,0.01,0.41,0.01,0.79,0.00
551,0.74,0.01,0.37,0.01,0.75,0.00
552,0.74,0.01,0.36,0.01,0.73,0.00
553,0.78,0.01,0.38,0.01,0.74,0.00
554,0.81,0.01,0.46,0.01,0.82,0.00
555,0.79,0.01,0.45,0.01,0.80,0.00
556,0.77,0.01,0.44,0.01,0.79,0.00
557,0.76,0.01,0.44,0.01,0.77,0.00
558,0.74,0.01,0.43,0.01,0.75,0.00
559,0.72,0.01,0.42,0.01,0.73,0.00
560,0.70,0.00,0.41,0.01,0.71,0.00
561,0.68,0.00,0.40,0.01,0.69,0.00
562,0.66,0.00,0.39,0.01,0.67,0.00
563,0.64,0.00,0.37,0.01,0.65,0.00
