[HEADER]
Format	J&M ASCII Table
Comment	Dark Scan
Date	2/21/2023 3:36:40 AM
Order	Y (evenX)
TechType	UV
NumPoints	483
FirstX	250.00
LastX	732.00
XType	NMetr
YType	Count
[DATA]
689.000000	278.538055
690.000000	279.715027
691.000000	280.973816
692.000000	280.535431
693.000000	278.356384
694.000000	276.803711
695.000000	277.330688
696.000000	279.279236
697.000000	281.479919
698.000000	282.009979
699.000000	279.718506
700.000000	277.175171
701.000000	277.308411
702.000000	279.382690
703.000000	281.375244
704.000000	282.163391
705.000000	281.192780
706.000000	279.074280
707.000000	277.286316
708.000000	276.679810
709.000000	277.393860
710.000000	278.978760
711.000000	280.147705
712.000000	280.222870
713.000000	279.993103
714.000000	280.084900
715.000000	280.018677
716.000000	279.279846
717.000000	278.187195
718.000000	277.277649
719.000000	276.939453
720.000000	277.411163
721.000000	278.010834
722.000000	277.589172
723.000000	276.425079
724.000000	275.970123
725.000000	276.546570
726.000000	277.107635
727.000000	277.112671
728.000000	276.991791
729.000000	277.036011
730.000000	276.990387
731.000000	276.622284
732.000000	276.048035
